based on the	[VBN, IN, DT]	24521
in terms of	[IN, NNS, IN]	19371
the use of	[DT, NN, IN]	17755
the performance of	[DT, NN, IN]	16451
for example the	[IN, NN, DT]	12790
is based on	[VBZ, VBN, IN]	11655
according to the	[VBG, TO, DT]	11479
the results of	[DT, NNS, IN]	11410
shown in table	[VBN, IN, NN]	9976
shown in figure	[VBN, IN, NN]	9820
in section we	[IN, NN, PRP]	9780
table shows the	[NN, VBZ, DT]	9290
in this section	[IN, DT, NN]	9280
natural language processing	[JJ, NN, NN]	8365
the task of	[DT, NN, IN]	8324
the probability of	[DT, NN, IN]	8261
the context of	[DT, NN, IN]	8001
performance of the	[NN, IN, DT]	7944
of the system	[IN, DT, NN]	7919
this section we	[DT, NN, PRP]	7689
described in section	[VBN, IN, NN]	7427
the quality of	[DT, NN, IN]	7288
in the context	[IN, DT, NN]	7283
based on a	[VBN, IN, DT]	6425
the output of	[DT, NN, IN]	6250
the basis of	[DT, NN, IN]	6219
a variety of	[DT, NN, IN]	6211
similar to the	[JJ, TO, DT]	6046
for example in	[IN, NN, IN]	5965
the effect of	[DT, NN, IN]	5884
a sequence of	[DT, NN, IN]	5771
the meaning of	[DT, NN, IN]	5724
as a result	[IN, DT, NN]	5714
an example of	[DT, NN, IN]	5593
in figure the	[IN, NN, DT]	5547
the accuracy of	[DT, NN, IN]	5512
is defined as	[VBZ, VBN, IN]	5477
in table the	[IN, NN, DT]	5468
the form of	[DT, NN, IN]	5456
total number of	[JJ, NN, IN]	5413
in our experiments	[IN, PRP$, NNS]	5411
on the basis	[IN, DT, NN]	5404
the value of	[DT, NN, IN]	5320
use of the	[NN, IN, DT]	5265
figure shows the	[NN, VBZ, DT]	5114
in the previous	[IN, DT, JJ]	5081
precision and recall	[NN, CC, NN]	5054
the total number	[DT, JJ, NN]	4947
we propose a	[PRP, VBP, DT]	4902
compared to the	[VBN, TO, DT]	4884
structure of the	[NN, IN, DT]	4862
extracted from the	[VBN, IN, DT]	4817
related to the	[VBN, TO, DT]	4816
results of the	[NNS, IN, DT]	4799
to improve the	[TO, VB, DT]	4786
to evaluate the	[TO, VB, DT]	4772
analysis of the	[NN, IN, DT]	4740
the distribution of	[DT, NN, IN]	4708
a subset of	[DT, NN, IN]	4693
the most frequent	[DT, RBS, JJ]	4645
we present a	[PRP, VBP, DT]	4640
need to be	[NN, TO, VB]	4595
as described in	[IN, VBN, IN]	4564
the target language	[DT, NN, NN]	4556
the development of	[DT, NN, IN]	4486
likely to be	[JJ, TO, VB]	4483
of the model	[IN, DT, NN]	4475
to determine the	[TO, VB, DT]	4371
the structure of	[DT, NN, IN]	4358
quality of the	[NN, IN, DT]	4327
the type of	[DT, NN, IN]	4310
we assume that	[PRP, VBP, IN]	4307
the process of	[DT, NN, IN]	4268
the presence of	[DT, NN, IN]	4264
in natural language	[IN, JJ, NN]	4260
by means of	[IN, NNS, IN]	4238
associated with the	[VBN, IN, DT]	4218
the result of	[DT, NN, IN]	4196
the results are	[DT, NNS, VBP]	4178
results show that	[NNS, VBP, IN]	4177
of the input	[IN, DT, NN]	4139
information about the	[NN, IN, DT]	4111
the gold standard	[DT, JJ, NN]	4102
in section the	[IN, NN, DT]	4100
of the form	[IN, DT, NN]	4100
depending on the	[VBG, IN, DT]	4089
included in the	[VBN, IN, DT]	4088
in the form	[IN, DT, NN]	4074
statistical machine translation	[JJ, NN, NN]	4064
is similar to	[VBZ, JJ, TO]	4012
are based on	[VBP, VBN, IN]	3992
goal is to	[NN, VBZ, TO]	3955
the goal of	[DT, NN, IN]	3930
source and target	[NN, CC, NN]	3920
in table we	[IN, NN, PRP]	3879
make use of	[VBP, NN, IN]	3863
terms of the	[NNS, IN, DT]	3820
for instance the	[IN, NN, DT]	3814
corresponding to the	[JJ, TO, DT]	3808
the shared task	[DT, VBN, NN]	3789
of natural language	[IN, JJ, NN]	3779
the notion of	[DT, NN, IN]	3778
we focus on	[PRP, NN, IN]	3755
the system is	[DT, NN, VBZ]	3715
association for computational	[NN, IN, JJ]	3709
the next section	[DT, JJ, NN]	3624
a combination of	[DT, NN, IN]	3619
different types of	[JJ, NNS, IN]	3616
the language model	[DT, NN, NN]	3600
to identify the	[TO, VB, DT]	3590
the level of	[DT, NN, IN]	3588
the sum of	[DT, NN, IN]	3578
the difference between	[DT, NN, IN]	3574
in contrast to	[IN, NN, TO]	3562
provided by the	[VBN, IN, DT]	3541
the definition of	[DT, NN, IN]	3522
the purpose of	[DT, NN, IN]	3433
the impact of	[DT, NN, IN]	3424
the development set	[DT, NN, NN]	3420
the importance of	[DT, NN, IN]	3403
the percentage of	[DT, NN, IN]	3394
refer to the	[VB, TO, DT]	3389
subset of the	[NN, IN, DT]	3337
the combination of	[DT, NN, IN]	3332
accuracy of the	[NN, IN, DT]	3310
depends on the	[VBZ, IN, DT]	3303
the results for	[DT, NNS, IN]	3275
supported by the	[VBN, IN, DT]	3275
derived from the	[VBN, IN, DT]	3246
the scope of	[DT, NN, IN]	3244
applied to the	[VBN, TO, DT]	3232
be applied to	[VB, VBN, TO]	3230
use of a	[NN, IN, DT]	3203
output of the	[NN, IN, DT]	3202
described in the	[VBN, IN, DT]	3179
set of features	[VBN, IN, NNS]	3174
it is important	[PRP, VBZ, JJ]	3170
the application of	[DT, NN, IN]	3155
on the development	[IN, DT, NN]	3142
in the literature	[IN, DT, NN]	3137
in the source	[IN, DT, NN]	3128
value of the	[NN, IN, DT]	3125
positive and negative	[JJ, CC, JJ]	3109
results for the	[NNS, IN, DT]	3101
we describe the	[PRP, VBP, DT]	3097
consists of a	[VBZ, IN, DT]	3066
needs to be	[NNS, TO, VB]	3055
two types of	[CD, NNS, IN]	3045
description of the	[NN, IN, DT]	3045
of the source	[IN, DT, NN]	3037
the nature of	[DT, NN, IN]	3010
focus on the	[NN, IN, DT]	2997
of our system	[IN, PRP$, NN]	2994
our experiments we	[PRP$, NNS, VBP]	2986
the lack of	[DT, NN, IN]	2985
of the current	[IN, DT, JJ]	2976
for example a	[IN, NN, DT]	2949
for example if	[IN, NN, IN]	2940
probability of the	[NN, IN, DT]	2934
the similarity between	[DT, NN, IN]	2919
the need for	[DT, NN, IN]	2917
difference between the	[NN, IN, DT]	2913
of the language	[IN, DT, NN]	2909
section we describe	[NN, PRP, VBP]	2903
the analysis of	[DT, NN, IN]	2898
is important to	[VBZ, JJ, TO]	2884
the degree of	[DT, NN, IN]	2881
can be applied	[MD, VB, VBN]	2877
in the input	[IN, DT, NN]	2847
to reduce the	[TO, VB, DT]	2846
the previous section	[DT, JJ, NN]	2823
the source language	[DT, NN, NN]	2815
in the current	[IN, DT, JJ]	2802
the role of	[DT, NN, IN]	2799
the model is	[DT, NN, VBZ]	2790
by the system	[IN, DT, NN]	2784
in this study	[IN, DT, NN]	2783
nature of the	[NN, IN, DT]	2775
assume that the	[VB, IN, DT]	2751
to the user	[TO, DT, NN]	2744
the relationship between	[DT, NN, IN]	2744
the most important	[DT, RBS, JJ]	2728
features of the	[NNS, IN, DT]	2727
more likely to	[RBR, JJ, TO]	2722
referred to as	[VBN, TO, IN]	2699
meaning of the	[NN, IN, DT]	2691
for the task	[IN, DT, NN]	2691
information in the	[NN, IN, DT]	2668
shows the results	[VBZ, DT, NNS]	2650
we refer to	[PRP, VBP, TO]	2647
associated with a	[VBN, IN, DT]	2637
probability of a	[NN, IN, DT]	2635
a language model	[DT, NN, NN]	2630
context of the	[NN, IN, DT]	2599
example in the	[NN, IN, DT]	2599
our approach is	[PRP$, NN, VBZ]	2598
have been proposed	[VBP, VBN, VBN]	2589
as an example	[IN, DT, NN]	2585
the best results	[DT, JJS, NNS]	2583
a method for	[DT, NN, IN]	2565
for this task	[IN, DT, NN]	2557
produced by the	[VBN, IN, DT]	2537
are likely to	[VBP, JJ, TO]	2535
are presented in	[VBP, VBN, IN]	2522
form of the	[NN, IN, DT]	2504
the user s	[DT, NN, VBZ]	2498
discussed in section	[VBN, IN, NN]	2494
this paper describes	[DT, NN, VBZ]	2491
wide range of	[JJ, NN, IN]	2480
