based on	[VBN, IN]	75158
for example	[IN, NN]	61857
the system	[DT, NN]	51418
the results	[DT, NNS]	40406
in section	[IN, NN]	37938
in figure	[IN, NN]	33203
in table	[IN, NN]	33200
use of	[NN, IN]	32977
the model	[DT, NN]	32070
according to	[VBG, TO]	27381
the user	[DT, NN]	26502
natural language	[JJ, NN]	25019
the performance	[DT, NN]	24418
the task	[DT, NN]	22088
described in	[VBN, IN]	22023
section we	[NN, PRP]	21611
types of	[NNS, IN]	21507
performance of	[NN, IN]	21404
terms of	[NNS, IN]	20375
in terms	[IN, NNS]	19634
the input	[DT, NN]	19413
the current	[DT, JJ]	19391
the use	[DT, NN]	18169
the context	[DT, NN]	17976
the source	[DT, NN]	17939
for instance	[IN, NN]	17375
consists of	[VBZ, IN]	17054
similar to	[JJ, TO]	16913
our system	[PRP$, NN]	16852
example the	[NN, DT]	16713
associated with	[VBN, IN]	16467
need to	[NN, TO]	16037
results of	[NNS, IN]	15509
table shows	[NN, NNS]	15405
type of	[NN, IN]	15191
the probability	[DT, NN]	15077
language model	[NN, NN]	15061
our approach	[PRP$, NN]	14838
the language	[DT, NN]	14801
the previous	[DT, JJ]	14506
model is	[NN, VBZ]	14359
approach to	[NN, TO]	14010
applied to	[VBN, TO]	13681
analysis of	[NN, IN]	13611
the feature	[DT, NN]	13542
the output	[DT, NN]	13451
to identify	[TO, VB]	13381
related to	[VBN, TO]	13321
in particular	[IN, JJ]	13134
this section	[DT, NN]	13126
an example	[DT, NN]	13088
compared to	[VBN, TO]	13072
the features	[DT, NNS]	13067
results in	[NNS, IN]	13014
probability of	[NN, IN]	12889
is based	[VBZ, VBN]	12712
of features	[IN, NNS]	12619
the corresponding	[DT, JJ]	12607
the information	[DT, NN]	12368
a particular	[DT, JJ]	12362
form of	[NN, IN]	12139
our model	[PRP$, NN]	11978
results are	[NNS, VBP]	11900
refer to	[VB, TO]	11832
our experiments	[PRP$, NNS]	11749
however the	[RB, DT]	11746
the development	[DT, NN]	11631
the form	[DT, NN]	11566
system is	[NN, VBZ]	11547
a system	[DT, NN]	11544
to determine	[TO, VB]	11427
to improve	[TO, VB]	11404
figure shows	[NN, NNS]	11330
structure of	[NN, IN]	11182
accuracy of	[NN, IN]	11112
task of	[NN, IN]	11102
sequence of	[NN, IN]	10941
value of	[NN, IN]	10937
the resulting	[DT, VBG]	10922
the method	[DT, NN]	10899
we propose	[PRP, VBP]	10829
language processing	[NN, VBG]	10827
extracted from	[VBN, IN]	10774
our method	[PRP$, NN]	10748
approach is	[NN, VBZ]	10731
level of	[NN, IN]	10701
combination of	[NN, IN]	10668
of information	[IN, NN]	10650
this approach	[DT, NN]	10627
to generate	[TO, VB]	10508
results for	[NNS, IN]	10379
likely to	[JJ, TO]	10295
presented in	[VBN, IN]	10259
a model	[DT, NN]	10217
the proposed	[DT, VBN]	10144
model the	[NN, DT]	10112
the above	[DT, JJ]	10069
features are	[NNS, VBP]	9956
context of	[NN, IN]	9945
range of	[NN, IN]	9929
the overall	[DT, JJ]	9915
we describe	[PRP, VBP]	9892
the result	[DT, NN]	9794
defined as	[VBN, IN]	9764
the accuracy	[DT, NN]	9732
is defined	[VBZ, VBN]	9659
focus on	[NN, IN]	9618
the approach	[DT, NN]	9566
corresponding to	[JJ, TO]	9545
to evaluate	[TO, VB]	9505
in general	[IN, JJ]	9502
information about	[NN, IN]	9459
in contrast	[IN, NN]	9405
improve the	[VB, DT]	9393
quality of	[NN, IN]	9282
to produce	[TO, VB]	9278
model and	[NN, CC]	9209
to obtain	[TO, VB]	9162
variety of	[NN, IN]	9117
the domain	[DT, NN]	9093
the relation	[DT, NN]	9090
gold standard	[JJ, NN]	9027
the standard	[DT, NN]	9024
the process	[DT, NN]	8941
the similarity	[DT, NN]	8869
model for	[NN, IN]	8734
derived from	[VBN, IN]	8637
assume that	[VB, IN]	8607
evaluate the	[VB, DT]	8592
example of	[NN, IN]	8582
