in this section we	[IN, DT, NN, PRP]	7254
the performance of the	[DT, NN, IN, DT]	6098
in the context of	[IN, DT, NN, IN]	5879
on the basis of	[IN, DT, NN, IN]	5330
the total number of	[DT, JJ, NN, IN]	4871
is based on the	[VBZ, VBN, IN, DT]	4514
are shown in table	[VBP, VBN, IN, NN]	4441
in the form of	[IN, DT, NN, IN]	3712
the results of the	[DT, NNS, IN, DT]	3681
association for computational linguistics	[NN, IN, JJ, NNS]	3670
the quality of the	[DT, NN, IN, DT]	3531
in terms of the	[IN, NNS, IN, DT]	3479
as shown in figure	[IN, VBN, IN, NN]	3031
in the next section	[IN, DT, JJ, NN]	2900
is shown in figure	[VBZ, VBN, IN, NN]	2856
the output of the	[DT, NN, IN, DT]	2672
it is important to	[PRP, VBZ, JJ, TO]	2636
in the previous section	[IN, DT, JJ, NN]	2398
as shown in table	[IN, VBN, IN, NN]	2393
is organized as follows	[VBZ, VBN, IN, VBZ]	2313
the accuracy of the	[DT, NN, IN, DT]	2308
a wide range of	[DT, JJ, NN, IN]	2271
paper is organized as	[NN, VBZ, VBN, IN]	2206
for example in the	[IN, NN, IN, DT]	2200
as described in section	[IN, VBN, IN, NN]	2141
a subset of the	[DT, NN, IN, DT]	2122
the structure of the	[DT, NN, IN, DT]	2066
the meaning of the	[DT, NN, IN, DT]	2029
the context of the	[DT, NN, IN, DT]	2012
table shows the results	[NN, VBZ, DT, NNS]	1992
results are shown in	[NNS, VBP, VBN, IN]	1991
shown in table the	[VBN, IN, NN, DT]	1986
in natural language processing	[IN, JJ, NN, NN]	1958
in our experiments we	[IN, PRP$, NNS, VBP]	1957
the performance of our	[DT, NN, IN, PRP$]	1936
the probability of a	[DT, NN, IN, DT]	1923
this paper we propose	[DT, NN, PRP, VBP]	1914
shown in figure the	[VBN, IN, NN, DT]	1899
the sum of the	[DT, NN, IN, DT]	1879
the use of a	[DT, NN, IN, DT]	1835
the use of the	[DT, NN, IN, DT]	1835
is based on a	[VBZ, VBN, IN, DT]	1804
the basis of the	[DT, NN, IN, DT]	1799
on the development set	[IN, DT, NN, NN]	1796
the probability of the	[DT, NN, IN, DT]	1795
can be applied to	[MD, VB, VBN, TO]	1765
in the target language	[IN, DT, NN, NN]	1743
anonymous reviewers for their	[JJ, NNS, IN, PRP$]	1730
the value of the	[DT, NN, IN, DT]	1699
can be viewed as	[MD, VB, VBN, IN]	1665
the source and target	[DT, NN, CC, NN]	1642
is defined as the	[VBZ, VBN, IN, DT]	1619
our goal is to	[PRP$, NN, VBZ, TO]	1617
is similar to the	[VBZ, JJ, TO, DT]	1591
natural language processing nlp	[JJ, NN, NN, NN]	1579
the nature of the	[DT, NN, IN, DT]	1579
for the purpose of	[IN, DT, NN, IN]	1564
it is necessary to	[PRP, VBZ, JJ, TO]	1557
is shown in table	[VBZ, VBN, IN, NN]	1557
the anonymous reviewers for	[DT, JJ, NNS, IN]	1554
an example of a	[DT, NN, IN, DT]	1512
the difference between the	[DT, NN, IN, DT]	1497
as a result of	[IN, DT, NN, IN]	1479
we assume that the	[PRP, VBP, IN, DT]	1472
the association for computational	[DT, NN, IN, JJ]	1472
this work was supported	[DT, NN, VBD, VBN]	1446
best of our knowledge	[JJS, IN, PRP$, NN]	1374
this section we describe	[DT, NN, PRP, VBP]	1362
this paper we describe	[DT, NN, PRP, VBP]	1346
described in this paper	[VBN, IN, DT, NN]	1336
the goal is to	[DT, NN, VBZ, TO]	1306
we focus on the	[PRP, NN, IN, DT]	1305
in future work we	[IN, JJ, NN, PRP]	1298
the wall street journal	[DT, NN, NN, NN]	1284
at the level of	[IN, DT, NN, IN]	1283
the results of our	[DT, NNS, IN, PRP$]	1280
presented in this paper	[VBN, IN, DT, NN]	1280
the remainder of this	[DT, NN, IN, DT]	1259
paper we present a	[NN, PRP, VBP, DT]	1249
improve the performance of	[VB, DT, NN, IN]	1242
are shown in figure	[VBP, VBN, IN, NN]	1241
the next section we	[DT, JJ, NN, PRP]	1233
paper we propose a	[NN, PRP, VBP, DT]	1232
the results for the	[DT, NNS, IN, DT]	1230
are based on the	[VBP, VBN, IN, DT]	1228
a wide variety of	[DT, JJ, NN, IN]	1228
results show that the	[NNS, VBP, IN, DT]	1224
it should be noted	[PRP, MD, VB, VBN]	1224
section we describe the	[NN, PRP, VBP, DT]	1220
in section we describe	[IN, NN, PRP, VBP]	1210
supported in part by	[VBN, IN, NN, IN]	1202
the results show that	[DT, NNS, VBP, IN]	1201
are more likely to	[VBP, RBR, JJ, TO]	1200
are given in table	[VBP, VBN, IN, NN]	1200
more likely to be	[RBR, JJ, TO, VB]	1186
the complexity of the	[DT, NN, IN, DT]	1179
this paper presents a	[DT, NN, VBZ, DT]	1175
the content of the	[DT, NN, IN, DT]	1159
in this study we	[IN, DT, NN, PRP]	1155
as a function of	[IN, DT, NN, IN]	1152
of natural language processing	[IN, JJ, NN, NN]	1152
the form of a	[DT, NN, IN, DT]	1145
the paper is organized	[DT, NN, VBZ, VBN]	1136
figure shows an example	[NN, VBZ, DT, NN]	1133
at the university of	[IN, DT, NN, IN]	1128
the extent to which	[DT, NN, TO, WDT]	1126
the meaning of a	[DT, NN, IN, DT]	1126
the distribution of the	[DT, NN, IN, DT]	1122
should be noted that	[MD, VB, VBN, IN]	1116
the effect of the	[DT, NN, IN, DT]	1110
we have presented a	[PRP, VBP, VBN, DT]	1110
are presented in table	[VBP, VBN, IN, NN]	1110
the results are shown	[DT, NNS, VBP, VBN]	1110
for the task of	[IN, DT, NN, IN]	1108
are likely to be	[VBP, JJ, TO, VB]	1101
the context of a	[DT, NN, IN, DT]	1100
shows the results of	[VBZ, DT, NNS, IN]	1098
organized as follows section	[VBN, IN, VBZ, NN]	1096
an overview of the	[DT, NN, IN, DT]	1089
this paper is organized	[DT, NN, VBZ, VBN]	1083
the result of the	[DT, NN, IN, DT]	1065
as a result the	[IN, DT, NN, DT]	1064
is likely to be	[VBZ, JJ, TO, VB]	1060
an example of the	[DT, NN, IN, DT]	1051
june association for computational	[NN, NN, IN, JJ]	1046
is represented as a	[VBZ, VBN, IN, DT]	1042
the performance of a	[DT, NN, IN, DT]	1035
be viewed as a	[VB, VBN, IN, DT]	1034
in section we present	[IN, NN, PRP, NN]	1031
in contrast to the	[IN, NN, TO, DT]	1031
evaluate the performance of	[VB, DT, NN, IN]	1024
shows an example of	[VBZ, DT, NN, IN]	1011
is associated with a	[VBZ, VBN, IN, DT]	1008
statistical machine translation smt	[JJ, NN, NN, NN]	1006
for the purposes of	[IN, DT, NNS, IN]	1002
was supported by the	[VBD, VBN, IN, DT]	1002
a function of the	[DT, NN, IN, DT]	997
the remainder of the	[DT, NN, IN, DT]	996
the goal of the	[DT, NN, IN, DT]	990
work was supported by	[NN, VBD, VBN, IN]	989
in the absence of	[IN, DT, NN, IN]	987
make use of the	[VBP, NN, IN, DT]	978
in the source language	[IN, DT, NN, NN]	977
the parameters of the	[DT, NNS, IN, DT]	969
described in the previous	[VBN, IN, DT, JJ]	966
in order to obtain	[IN, NN, TO, VB]	965
experimental results show that	[JJ, NNS, VBP, IN]	962
is represented by a	[VBZ, VBN, IN, DT]	955
an important role in	[DT, JJ, NN, IN]	945
of the association for	[IN, DT, NN, IN]	942
with the exception of	[IN, DT, NN, IN]	940
in the process of	[IN, DT, NN, IN]	938
as follows in section	[IN, VBZ, IN, NN]	935
described in section the	[VBN, IN, NN, DT]	932
is the total number	[VBZ, DT, JJ, NN]	921
on the assumption that	[IN, DT, NN, IN]	920
in the following sections	[IN, DT, JJ, NNS]	917
which is based on	[WDT, VBZ, VBN, IN]	915
for example if the	[IN, NN, IN, DT]	910
we will refer to	[PRP, MD, VB, TO]	909
is an example of	[VBZ, DT, NN, IN]	905
by means of a	[IN, NNS, IN, DT]	899
in the gold standard	[IN, DT, JJ, NN]	899
in the shared task	[IN, DT, VBN, NN]	895
was supported in part	[VBD, VBN, IN, NN]	893
a set of features	[DT, NN, IN, NNS]	893
shown in table we	[VBN, IN, NN, PRP]	891
the scope of the	[DT, NN, IN, DT]	890
in order to evaluate	[IN, NN, TO, VB]	886
this paper we focus	[DT, NN, PRP, NN]	883
remainder of this paper	[NN, IN, DT, NN]	882
in the domain of	[IN, DT, NN, IN]	879
this section we present	[DT, NN, PRP, NN]	878
a finite set of	[DT, JJ, NN, IN]	864
is structured as follows	[VBZ, VBN, IN, VBZ]	863
to the task of	[TO, DT, NN, IN]	862
in the following section	[IN, DT, VBG, NN]	856
the degree to which	[DT, NN, TO, WDT]	852
described in section we	[VBN, IN, NN, PRP]	851
is defined as a	[VBZ, VBN, IN, DT]	850
to improve the performance	[TO, VB, DT, NN]	847
follows in section we	[VBZ, IN, NN, PRP]	842
that the use of	[IN, DT, NN, IN]	841
paper we focus on	[NN, PRP, NN, IN]	834
number of occurrences of	[NN, IN, NNS, IN]	832
defined in terms of	[VBN, IN, NNS, IN]	826
at the sentence level	[IN, DT, NN, NN]	825
the values of the	[DT, NNS, IN, DT]	825
is the sum of	[VBZ, DT, NN, IN]	824
the subject of the	[DT, NN, IN, DT]	821
is important to note	[VBZ, JJ, TO, VB]	818
thank the anonymous reviewers	[VB, DT, JJ, NNS]	813
the scope of this	[DT, NN, IN, DT]	811
reduce the number of	[VB, DT, NN, IN]	810
the presence of a	[DT, NN, IN, DT]	807
in terms of a	[IN, NNS, IN, DT]	807
of the authors and	[IN, DT, NNS, CC]	807
the output of a	[DT, NN, IN, DT]	806
in a variety of	[IN, DT, NN, IN]	804
is the probability of	[VBZ, DT, NN, IN]	802
important to note that	[JJ, TO, VB, IN]	799
paper is structured as	[NN, VBZ, VBN, IN]	794
the number of occurrences	[DT, NN, IN, NNS]	790
the maximum number of	[DT, JJ, NN, IN]	788
performance of the system	[NN, IN, DT, NN]	788
the national science foundation	[DT, JJ, NN, NN]	787
the analysis of the	[DT, NN, IN, DT]	787
is defined as follows	[VBZ, VBN, IN, VBZ]	785
it is worth noting	[PRP, VBZ, JJ, VBG]	785
are summarized in table	[VBP, VBN, IN, NN]	782
we make use of	[PRP, VBP, NN, IN]	782
this research was supported	[DT, NN, VBD, VBN]	781
the task is to	[DT, NN, VBZ, TO]	780
used in our experiments	[VBN, IN, PRP$, NNS]	779
be included in the	[VB, VBN, IN, DT]	779
in the following way	[IN, DT, JJ, NN]	776
is more likely to	[VBZ, RBR, JJ, TO]	773
the results of this	[DT, NNS, IN, DT]	773
the results in table	[DT, NNS, IN, NN]	770
in order to determine	[IN, NN, TO, VB]	769
to make use of	[TO, VB, NN, IN]	768
the input to the	[DT, NN, TO, DT]	768
on the task of	[IN, DT, NN, IN]	766
this paper describes the	[DT, NN, VBZ, DT]	762
as discussed in section	[IN, VBN, IN, NN]	761
are extracted from the	[VBP, VBN, IN, DT]	761
similar to that of	[JJ, TO, DT, IN]	760
those of the authors	[DT, IN, DT, NNS]	757
we propose a novel	[PRP, VBP, DT, NN]	756
is related to the	[VBZ, VBN, TO, DT]	756
refer to the same	[VB, TO, DT, JJ]	755
this paper describes a	[DT, NN, VBZ, DT]	750
the product of the	[DT, NN, IN, DT]	750
for natural language processing	[IN, JJ, NN, NN]	749
the relationship between the	[DT, NN, IN, DT]	746
can be interpreted as	[MD, VB, VBN, IN]	745
in order to improve	[IN, NN, TO, VB]	745
are listed in table	[VBP, VBN, IN, NN]	744
is given in figure	[VBZ, VBN, IN, NN]	744
can be regarded as	[MD, VB, VBN, IN]	744
the type of the	[DT, NN, IN, DT]	743
a description of the	[DT, NN, IN, DT]	736
of the shared task	[IN, DT, VBN, NN]	735
the definition of the	[DT, NN, IN, DT]	734
the impact of the	[DT, NN, IN, DT]	732
for this purpose we	[IN, DT, NN, PRP]	726
of the system is	[IN, DT, NN, VBZ]	726
is determined by the	[VBZ, VBN, IN, DT]	726
the precision and recall	[DT, NN, CC, NN]	725
the form of the	[DT, NN, IN, DT]	723
by means of the	[IN, NNS, IN, DT]	723
to ensure that the	[TO, VB, IN, DT]	717
in this article we	[IN, DT, NN, PRP]	716
the application of the	[DT, NN, IN, DT]	715
compare the performance of	[VB, DT, NN, IN]	715
the goal of this	[DT, NN, IN, DT]	714
in section we discuss	[IN, NN, PRP, VBP]	714
an analysis of the	[DT, NN, IN, DT]	713
is worth noting that	[VBZ, JJ, VBG, IN]	713
to the use of	[TO, DT, NN, IN]	711
do not necessarily reflect	[VBP, RB, RB, VB]	709
shows the performance of	[VBZ, DT, NN, IN]	707
beyond the scope of	[IN, DT, NN, IN]	705
the number of features	[DT, NN, IN, NNS]	705
is a sequence of	[VBZ, DT, NN, IN]	705
our results show that	[PRP$, NNS, VBP, IN]	702
the similarity between the	[DT, NN, IN, DT]	701
it is based on	[PRP, VBZ, VBN, IN]	701
not necessarily reflect the	[RB, RB, VB, DT]	700
the development of the	[DT, NN, IN, DT]	698
to refer to the	[TO, VB, TO, DT]	697
as a sequence of	[IN, DT, NN, IN]	693
that the performance of	[IN, DT, NN, IN]	690
is the task of	[VBZ, DT, NN, IN]	687
on the use of	[IN, DT, NN, IN]	687
to evaluate the performance	[TO, VB, DT, NN]	687
the precision of the	[DT, NN, IN, DT]	686
can be represented as	[MD, VB, VBN, IN]	686
the development of a	[DT, NN, IN, DT]	684
similar to the one	[JJ, TO, DT, CD]	683
and the use of	[CC, DT, NN, IN]	682
in the remainder of	[IN, DT, NN, IN]	681
results are presented in	[NNS, VBP, VBN, IN]	680
of positive and negative	[IN, JJ, CC, JJ]	680
for example consider the	[IN, NN, VBP, DT]	676
et al proposed a	[FW, NN, VBD, DT]	675
the similarity between two	[DT, NN, IN, CD]	675
in the framework of	[IN, DT, NN, IN]	674
an extension of the	[DT, NN, IN, DT]	672
the purpose of the	[DT, NN, IN, DT]	672
is illustrated in figure	[VBZ, JJ, IN, NN]	672
through the use of	[IN, DT, NN, IN]	668
the assumption that the	[DT, NN, IN, DT]	668
authors would like to	[NNS, MD, VB, TO]	665
the interpretation of the	[DT, NN, IN, DT]	664
difference between the two	[NN, IN, DT, CD]	664
section we present the	[NN, PRP, VBP, DT]	663
in the development of	[IN, DT, NN, IN]	661
the relation between the	[DT, NN, IN, DT]	658
the authors would like	[DT, NNS, MD, VB]	657
table we can see	[NN, PRP, MD, VB]	656
organized as follows in	[VBN, RB, VBZ, IN]	654
the ratio of the	[DT, NN, IN, DT]	650
future work we plan	[JJ, NN, PRP, VBP]	647
are included in the	[VBP, VBN, IN, DT]	647
significantly better than the	[RB, JJR, IN, DT]	646
we refer to this	[PRP, VBP, TO, DT]	646
for example for the	[IN, NN, IN, DT]	645
on the performance of	[IN, DT, NN, IN]	645
the conll shared task	[DT, NN, VBN, NN]	641
the role of the	[DT, NN, IN, DT]	640
results show that our	[NNS, VBP, IN, PRP$]	640
is equal to the	[VBZ, JJ, TO, DT]	636
of this approach is	[IN, DT, NN, VBZ]	636
the combination of the	[DT, NN, IN, DT]	635
